;query;Diversity Score;Tweet;Username;Date;Hashtags;Likes;Retweets;URL
17;['pfizer'];1.0;👍FDA says Pfizer vaccine vials hold extra doses, expanding supply  via ;Fabrizi64380023;Thu Dec 17 14:12:22 +0000 2020;['No Hashtags'];0;0;['https://t.co/fpX80uKxN3']
18;['pfizer'];1.0;"SECOND health worker in Alaska suffers allergic reaction after getting Pfizer Covid-19 jab
";ussuricat1;Thu Dec 17 14:09:43 +0000 2020;['No Hashtags'];2;2;['https://t.co/HPfo3ykIOx']
19;['pfizer'];1.0;Pfizer Vaccine Docs Hacked by Cyber-attackers at EU Medicines Agency ;CyberKrisann;Thu Dec 17 14:13:01 +0000 2020;['No Hashtags'];0;0;['https://t.co/M21ak8Bfne']
20;['trump'];1.0;Chris Christie has been and always will be a Trump Toady. ;mmccue56;Thu Dec 17 14:11:55 +0000 2020;['No Hashtags'];0;0;['https://t.co/vn09MhMqAE']
21;['trump'];1.0;" is fucking useless. 💯💯💯🤦‍♀️🤦‍♀️🤦‍♀️

Trump feeds his election sideshow despite crises gripping America

";GeorgiasGlamma;Thu Dec 17 14:16:07 +0000 2020;['No Hashtags'];0;0;['https://t.co/NewuDAVxr6']
22;['trump'];1.0;Can you even imagine if #covid hit in Trump's first year?;blogsofstuff;Thu Dec 17 14:34:57 +0000 2020;['covid'];0;0;[]
23;['trump'];1.0; Maybe if they listened to trump about this drug more live would have been saved! ;john98946056;Thu Dec 17 14:36:11 +0000 2020;['No Hashtags'];0;0;['https://t.co/wd8ozZ97d8']
24;['trump'];1.0; I would say that the vaccine got developed despite Trump;FryMiguela;Thu Dec 17 14:37:29 +0000 2020;['No Hashtags'];0;0;[]
25;['trump'];1.0;Wtf? He should thank Trump for pressuring everyone to not wear masks ;Chriswb71;Thu Dec 17 14:38:01 +0000 2020;['No Hashtags'];3;0;['https://t.co/NmgR3dkS3s']
26;['trump'];1.0;Trump is conspicuously absent from the list of public figures getting a coronavirus vaccine soon ;thomaskaine5;Thu Dec 17 14:18:35 +0000 2020;['No Hashtags'];9;6;['https://t.co/1GNkmxRTQP']
27;['trump'];1.0;Trump states shut out COVID-19 headlines as virus spreads unchecked - Axios ⁦ to your point! ;StillHopeful3;Thu Dec 17 14:17:07 +0000 2020;['No Hashtags'];0;0;['https://t.co/KMU8ALnIVZ']
28;['trump'];1.0; considering many of trump's administrative ghouls seriously discussed letting kids get infected to bring about herd immunity(posted article yesterday)this Onion piece is spot on its satire..;wagepeace;Thu Dec 17 14:25:07 +0000 2020;['No Hashtags'];0;0;['https://t.co/2gouBtIdMM']
29;['trump'];1.0;First time Putin has copied Trump, instead of the other way around. ;NPSusa;Thu Dec 17 14:29:20 +0000 2020;['No Hashtags'];0;0;['https://t.co/wqweKYd3lt']
30;['moderna'];1.0; do you own stock in Moderna? ;FloridaNathan;Thu Dec 17 14:38:18 +0000 2020;['No Hashtags'];1;0;['https://t.co/O1sAZIo4EX']
31;['moderna'];1.0;FDA panel meets on Moderna Covid vaccine for emergency use ;newsron24;Thu Dec 17 14:29:44 +0000 2020;['No Hashtags'];0;0;['https://t.co/66xRo2g9Ez']
32;['moderna'];1.0;US experts meet ahead of expected Moderna vaccine approval - ;santo_aol;Thu Dec 17 13:55:10 +0000 2020;['No Hashtags'];0;0;['https://t.co/rsvRgiV79e']
33;['moderna'];1.0;FDA meets to discuss emergency authorization of Moderna COVID-19 vaccine. ;ABCPolitics;Thu Dec 17 14:07:20 +0000 2020;['No Hashtags'];26;13;['https://t.co/34sTvz8VcP']
34;['moderna'];1.0; Moderna vaccine looks good to get FDA approval soon 🤞;ianlovesfashion;Thu Dec 17 14:11:58 +0000 2020;['No Hashtags'];0;0;[]
35;['moderna'];1.0;FDA panel meets on Moderna Covid vaccine for emergency use ;NNCIBUREAU;Thu Dec 17 14:13:00 +0000 2020;['No Hashtags'];0;0;['https://t.co/gR57mxSaIy']
36;['moderna'];1.0;FDA panel meets on Moderna Covid vaccine for emergency use ;manishransubhe;Thu Dec 17 14:19:40 +0000 2020;['No Hashtags'];0;0;['https://t.co/P4Tm9mbIhF']
37;['moderna'];1.0;Canada gearing up to distribute Moderna's COVID-19 vaccine, pending approval ;padre_al;Thu Dec 17 14:19:43 +0000 2020;['No Hashtags'];0;0;['https://t.co/IuA1Aca6fO']
38;['moderna'];1.0;Business feed from  FDA Panel Weighs Moderna's COVID-19 Vaccine ;CefaCapital;Thu Dec 17 14:26:24 +0000 2020;['No Hashtags'];0;0;['https://t.co/m8RwdD55kZ']
39;['moderna'];1.0;5 things to know before FDA panel votes on Moderna's Covid vaccine today ;rhg345;Thu Dec 17 14:10:17 +0000 2020;['No Hashtags'];0;0;['https://t.co/BrrcTqaafU']
40;['macron'];1.0;Macron ;VisBlije;Thu Dec 17 14:28:58 +0000 2020;['No Hashtags'];1;1;['https://t.co/5Ag6LmWvqL']
41;['macron'];1.0;French president Emmanuel Macron tests positive for coronavirus ;NeroFiddled;Thu Dec 17 14:04:01 +0000 2020;['No Hashtags'];0;0;['https://t.co/eP7V7ejOwr']
42;['macron'];1.0;French President Emmanuel Macron tests positive for coronavirus. ;usnews;Thu Dec 17 14:00:20 +0000 2020;['No Hashtags'];1;0;['https://t.co/1C6r9nPOhO']
43;['macron'];1.0;French president Emmanuel Macron tests positive for coronavirus ;MuchLessNews;Thu Dec 17 14:00:31 +0000 2020;['No Hashtags'];0;0;['https://t.co/7gLvabCEMI']
44;['macron'];1.0;French president Emmanuel Macron tests positive for coronavirus ;Abdullah_Hamad;Thu Dec 17 14:01:17 +0000 2020;['No Hashtags'];0;0;['https://t.co/eAS1YZ6zos']
45;['macron'];1.0;French President Emmanuel Macron tests positive for COVID-19  ;JWeber988;Thu Dec 17 14:01:19 +0000 2020;['No Hashtags'];1;0;['https://t.co/KDxfpcp9kl']
46;['macron'];1.0;Wishing French President Macron a speedy recovery from #Covid19. ;mathias_venita;Thu Dec 17 14:02:32 +0000 2020;['Covid19'];0;0;['https://t.co/bOjl4sJY5E']
47;['macron'];1.0;French President Macron tests positive for COVID-19 #SmartNews  ;adgs8;Thu Dec 17 14:03:26 +0000 2020;['SmartNews'];0;0;['https://t.co/4kk7qyERHU']
48;['macron'];1.0;French President Emmanuel Macron tests positive for Covid-19 ;myglnews;Thu Dec 17 14:05:29 +0000 2020;['No Hashtags'];0;0;['https://t.co/UtzdQxMILH']
49;['macron'];1.0;President Macron self isolating after positive test for Covid-19.  ;DB4WorldJustice;Thu Dec 17 14:31:42 +0000 2020;['No Hashtags'];1;0;['https://t.co/H8oUALuXuC']
50;['germani'];1.0; did you register for the vaccine in germany;afchilles;Thu Dec 17 14:20:08 +0000 2020;['No Hashtags'];1;0;[]
51;['germani'];1.0;Coronavirus Scandal Breaking in Merkel’s Germany  via ;adrianxleconte;Thu Dec 17 14:13:50 +0000 2020;['No Hashtags'];3;2;['https://t.co/cF0Ftc02Qb']
52;['germani'];1.0; Until when might you be in Tier 3? Germany is on lockdown (most likely) until the end of January 2021...;Kinofrau1;Thu Dec 17 14:03:32 +0000 2020;['No Hashtags'];1;0;[]
53;['germani'];1.0;Germany’s Winning Covid Strategy Has Stopped Working ;MiddleEastTon;Thu Dec 17 13:50:40 +0000 2020;['No Hashtags'];0;0;['https://t.co/Yp7UwlkHLU']
54;['germani'];1.0;" 💉Why is China buying 100 million doses of vaccine from Germany?

🤔🤔🤔🤔 ";VinennaRosee;Thu Dec 17 13:58:04 +0000 2020;['No Hashtags'];2;1;['https://t.co/2Hilqwpsx5']
55;['germani'];1.0;" 💉Why is China buying 100 million doses of vaccine from Germany?

🤔🤔🤔🤔 ";VinennaRosee;Thu Dec 17 14:05:29 +0000 2020;['No Hashtags'];0;1;['https://t.co/apjvHtKS5T']
56;['germani'];1.0;Germany seeking EU COVID vaccine approval 'before Christmas' ;NayrouzAgency;Thu Dec 17 14:19:44 +0000 2020;['No Hashtags'];0;0;['https://t.co/sKVZVqQL3G']
57;['germani'];1.0;" How great is Germany doing not on island?

";CWar12;Thu Dec 17 13:55:38 +0000 2020;['No Hashtags'];0;0;['https://t.co/An2L05DdcJ']
58;['germani'];1.0;"Hard lockdown in Germany
Day 2
30.400 new cases 😳
#StayHome";dorisorchid;Thu Dec 17 14:02:58 +0000 2020;['StayHome'];1;0;[]
59;['germani'];1.0;THOUSANDS IN GERMANY PROTEST THE LOCKDOWN AND RESTRICTIONS 🇩🇪 ;rara_apa4;Thu Dec 17 13:48:21 +0000 2020;['No Hashtags'];0;0;['https://t.co/G3pLA6XB8n']
60;['spain'];1.0;"The next challenge for covid-19 vaccines will be communication

By Sergio Ferrer (
#Spain 
";WFSJ;Thu Dec 17 14:30:00 +0000 2020;['Spain'];1;0;['https://t.co/l41qdTHfOL']
61;['spain'];1.0;Macron takes out Spain and Portuguese leaders with Covid. Is this a portent?;JonPark73442275;Thu Dec 17 14:29:08 +0000 2020;['No Hashtags'];0;0;[]
62;['spain'];1.0;"France’s Macron tests positive for COVID-19; leaders of Spain, Portugal go into quarantine
";bill_21c;Thu Dec 17 14:05:01 +0000 2020;['No Hashtags'];0;0;['https://t.co/0Xb0S9DQKM']
63;['spain'];1.0;"France's Macron tests positive for COVID-19; leaders of Spain, Portugal go into quarantine ";maybeawriter;Thu Dec 17 14:13:45 +0000 2020;['No Hashtags'];0;0;['https://t.co/V6vmWEkMhA']
64;['spain'];1.0;So will Spain also have the vaccine available on December 27? ;MajorcaDaily;Thu Dec 17 14:01:10 +0000 2020;['No Hashtags'];0;0;['https://t.co/eDOZGTCz1C']
65;['spain'];0.9761904761904762;"7/7
Covid-19 deaths  12/16/2020

US Brazil India Mexico Italy United Kingdom France Iran
 Spain Russia Argentina Colombia Peru Germany Poland
 South Africa Indonesia Belgium Turkey Ukraine Chile Ecuador Romania

#softwareLibre #100daysofcode Dell David Bowie grimes Macron USB ";Ubuntu8Touch;Thu Dec 17 13:49:37 +0000 2020;['softwareLibre', '100daysofcode'];2;5;['https://t.co/k3DvZklWQr']
66;['spain'];0.9629629629629629;Spain's Prime Minister Pedro Sanchez has suspended his public activities and is self-isolating after France's President Emmanuel Macron tested positive for COVID-19 ;getupradio;Thu Dec 17 14:19:40 +0000 2020;['No Hashtags'];0;0;['https://t.co/wiZm6HC0hp']
67;['spain'];0.9565217391304348;" Here is some data from Spain that shows that many of the assumptions we make are wrong.

";ssbawa;Thu Dec 17 14:34:01 +0000 2020;['No Hashtags'];0;0;['https://t.co/MVYV0lEJx2']
68;['spain'];0.9487179487179487;French President Emmanuel Macron has tested positive for #COVID19 and now Spain’s Prime Minister is self-isolating cause he had been with him recently. Europe well and truly going through it all over again. 😐;Yas_Queen17;Thu Dec 17 14:30:08 +0000 2020;['COVID19'];1;0;[]
69;['spain'];0.9411764705882353;Spain's PM Pedro sanchez to quarantine until Dec 24 after having lunch on Monday with French President Macron who tested positive for Covid-19. #Spain🇪🇸 #France🇫🇷 #COVID19 ;Based_Portugal;Thu Dec 17 14:08:57 +0000 2020;['Spain', 'France', 'COVID19'];1;0;['https://t.co/T1NMmMXSit']
70;['restaur'];1.0;Study reveals how quickly COVID can spread while dining at an indoor restaurant ;KRLD;Thu Dec 17 13:50:00 +0000 2020;['No Hashtags'];1;0;['https://t.co/mhctZvS2hn']
71;['restaur'];1.0;COVID-19 restrictions on bars, restaurants ease overnight ;KCCINews;Thu Dec 17 13:52:05 +0000 2020;['No Hashtags'];2;2;['https://t.co/1OwZK6AnoB']
72;['restaur'];1.0; No connection to restaurants Jay. ;FredricoPena;Thu Dec 17 14:20:46 +0000 2020;['No Hashtags'];0;0;['https://t.co/E2vlUkuOr4']
73;['restaur'];1.0;San Diego will pause enforcing COVID-19 restrictions against restaurants. ;kron4news;Thu Dec 17 14:15:00 +0000 2020;['No Hashtags'];17;0;['https://t.co/lk1bQFHUZy']
74;['restaur'];1.0;Brits who refuse COVID-19 vaccine may be denied entry to restaurants, bars  via ;luxsmomma;Thu Dec 17 14:34:07 +0000 2020;['No Hashtags'];7;4;['https://t.co/rAGuWUT0Yt']
75;['restaur'];1.0;"Good news for restaurants &amp; small businesses in CA! ";JusticeQuiver;Thu Dec 17 14:02:33 +0000 2020;['No Hashtags'];0;2;['https://t.co/yWqTSWm4Z8']
76;['restaur'];1.0;Other cities need to do the same for more/all businesses, not just restaurants. Nice going San Diego! ;SeagreenWench;Thu Dec 17 14:09:14 +0000 2020;['No Hashtags'];7;0;['https://t.co/aNiX0grZhf']
77;['restaur'];1.0;31 Outstanding London Restaurants Delivering During Lockdown  via ;finewinedine;Thu Dec 17 13:57:49 +0000 2020;['No Hashtags'];0;0;['https://t.co/dWm0aIJ4Sy']
78;['restaur'];1.0;The restaurant industry faces a potentially dark winter as outdoor dining closes. ;thedailyjournal;Thu Dec 17 14:23:03 +0000 2020;['No Hashtags'];0;0;['https://t.co/pas7wynJHM']
79;['restaur'];1.0;"One Town Resists Governor’s Lockdown “We Will NOT Comply"" Opens ALL Restaurants -  via ";LkaHoman;Thu Dec 17 14:27:34 +0000 2020;['No Hashtags'];0;0;['https://t.co/hSyiDqjY3b']
80;['economi'];1.0;They cared more about the economy than people... ;Humblejoe1208;Thu Dec 17 14:05:37 +0000 2020;['No Hashtags'];0;0;['https://t.co/L4Ysdqfvs1']
81;['economi'];1.0;Congress’s new round of pandemic relief will almost certainly not be enough to set the economy on a sure-footed path ;bopinion;Thu Dec 17 13:53:45 +0000 2020;['No Hashtags'];12;1;['https://t.co/7LvwUNyCH3']
82;['economi'];1.0; Until controlled demolition of economy is complete and enough have been vaccinated or begging for a vaccine.;ManishP31859390;Thu Dec 17 14:28:55 +0000 2020;['No Hashtags'];0;0;[]
83;['economi'];1.0; Whitty wants us to stay in lockdown forever and doesn’t give a damn about the economy;DazzaCumber;Thu Dec 17 14:28:02 +0000 2020;['No Hashtags'];0;0;[]
84;['economi'];1.0;"Our conversation with Dr Luke Evans MP is now available on all steaming platforms! Here he talks about a number of different topics include Covid-19, the economy and his new bill.  

 -";CFOC2020;Thu Dec 17 14:32:13 +0000 2020;['No Hashtags'];3;2;['https://t.co/QByEs7EZit']
85;['economi'];1.0;The 6th largest economy in the world and UNICEF have to feed our children. Fuck me, this is dire ;DanGra96;Thu Dec 17 13:48:15 +0000 2020;['No Hashtags'];3;0;['https://t.co/tn4ra1hEJ3']
86;['economi'];1.0;" worldwide misdiagnosis of infections attributed to SARS-CoV-2 and associated with the disease COVID-19 resulting in collateral damage for entire economies on a global scale.""
";DaveyJo50046282;Thu Dec 17 14:33:53 +0000 2020;['No Hashtags'];0;0;['https://t.co/JdXOzOhr4c']
87;['economi'];1.0;Few major economies investing in nature-friendly COVID-19 recovery, index finds. ;Roaldenviro;Thu Dec 17 14:32:45 +0000 2020;['No Hashtags'];0;0;['https://t.co/jeNM4V0m8p']
88;['economi'];1.0; Nadda said modi govt managed the pandemic best then why r u saying economy is not in control because of covid.;Sarthikbhan2;Thu Dec 17 14:25:53 +0000 2020;['No Hashtags'];0;0;[]
89;['economi'];1.0; ‘There will be no impact on the economy because of COVID’;bsvishy;Thu Dec 17 13:54:38 +0000 2020;['No Hashtags'];1;0;[]
90;['school'];1.0;So are schools closed again? ;BeanFromPA;Thu Dec 17 14:17:38 +0000 2020;['No Hashtags'];1;0;['https://t.co/dTDTZpjIMb']
91;['school'];1.0; Absolutely undeniable, the rapid spread of covid in schools and students' susceptibility;pearsonbound;Thu Dec 17 14:31:17 +0000 2020;['No Hashtags'];0;0;[]
92;['school'];1.0;Covid cases in schools 'reflect community levels' - BBC News ;MarkMoynihan19;Thu Dec 17 13:57:42 +0000 2020;['No Hashtags'];0;0;['https://t.co/InvD77XeBe']
93;['school'];1.0;Durham Public Schools giving all students A’s on end-of-course exams because of COVID ;CrystalWNCN;Thu Dec 17 13:59:05 +0000 2020;['No Hashtags'];1;0;['https://t.co/CoCoJNdvJS']
94;['school'];1.0;After COVID-19 outbreak, San Ramon district backtracks from reopening schools ;EastBayTimes;Thu Dec 17 14:01:29 +0000 2020;['No Hashtags'];0;0;['https://t.co/hDKKOe4MkZ']
95;['school'];1.0;After COVID-19 outbreak, San Ramon district backtracks from reopening schools ;mercnews;Thu Dec 17 14:01:41 +0000 2020;['No Hashtags'];1;0;['https://t.co/SbNMIxCrZ1']
96;['school'];1.0;Millions in Colorado school funding at risk because of COVID-19 enrollment declines ;denvereducation;Thu Dec 17 14:02:15 +0000 2020;['No Hashtags'];0;0;['https://t.co/wL2KshO4nF']
97;['school'];1.0;England's secondary school pupils face staggered return after Christmas ;markwilliamsa1;Thu Dec 17 14:02:26 +0000 2020;['No Hashtags'];0;0;['https://t.co/SQPoO8t5ZS']
98;['school'];1.0;All students and staff at Kerry school to be tested for Covid after 17 cases ;TheSun_NI;Thu Dec 17 14:06:53 +0000 2020;['No Hashtags'];0;0;['https://t.co/YEaUPR1nXO']
99;['school'];1.0;England's secondary school pupils face staggered return after Christmas ;cmcardle11;Thu Dec 17 14:10:33 +0000 2020;['No Hashtags'];0;0;['https://t.co/XuouxGkTPe']
